KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ; CID  ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ; DATE    ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK

/;Менская вобласць

$;M;S  ;MIO; Салігорск?          ;              ;   ;      ;    ;    ;     ;      ;         ;   ;      ;    ;20.12.08;                       ; мачта поруч запраўкі, дарога паміж калійным і горадам;          ;          ;
$;M;S  ;MIO; Маладзечна??????????;              ;   ;      ;    ;    ;     ;      ;         ;   ;      ;    ;23.06.09; Я.Купалы 128          ; крама, мачта                                       ; 54.311258; 26.898958;G*
$;M;S  ;MIO; Шапчыцы             ;              ;   ;      ;    ;    ;     ;      ;         ;   ;      ;    ;26.05.14; Старадарожскі р-н    ; хоз.двор, мачта, а не A1 ці гэта быў?                 ; 53.090142; 28.229221;G
$;M;S  ;MIO; Прусы               ;              ;   ;      ;    ;    ;     ;      ;         ;   ;      ;    ;17.06.15; Старадарожскі р-н    ; супольная вежа 70м                                       ; 52.844479; 28.371833;G
$;M;S  ;MIO; Рачэнь              ;              ;   ;      ;    ;    ;     ;      ;         ;   ;      ;    ;04.09.15; Любанскі р-н         ; вежа 70м                                            ; 52.751630; 27.849700;G
$;M;S  ;MIO; Высокае             ;              ;   ;      ;    ;    ;     ;      ;         ;   ;      ;    ;09.09.15; Смалевіцкі р-н      ; апорная мачта                                        ; 54.076190; 27.969800;G
$;M;S  ;MIO; Салігорск           ;              ;   ;      ;    ;    ;     ;      ;         ;   ;      ;    ;28.07.16; Л.Камсамола 49А       ; інт. СГПТК Ленінскага р-на, мачта (БС 2200 ???)      ; 52.796700; 27.538100;G
$;M;S  ;MIO; Вязькуцін           ;              ;   ;      ;    ;    ;     ;      ;         ;   ;      ;    ;22.06.18; Бярэзінскі р-н       ; вежа 70м                                            ; 53.763059; 29.122149;G
$;M;S  ;MIO; Кальнікі            ;              ;   ;      ;    ;    ;     ;      ;         ;   ;      ;    ;22.09.21; Смалевіцкі р-н      ; вежа 70м (А1 409)                                   ; 54.118830; 28.130240;G
$;M;S  ;MIO; Маладзечна          ;              ;   ; 1473 ;    ;    ;     ;      ;         ;   ;      ;    ;28.03.23; Шаранговіча 55В      ; слуп                                        ; 54.328940; 26.835000;G*
$;M;S  ;MIO; Слуцк               ;              ;   ; 2417 ;    ;    ;     ;      ;         ;   ;      ;    ;15.03.18; Новы 4ты зав. 7А      ; СПМК-97, слуп                                       ; 53.009443; 27.525085;Y
$;M;S  ;MIO; Ракаў               ;              ;   ; 2160 ;    ;    ;     ;      ;         ;   ;      ;    ;18.02.21; Валожынскі р-н       ; Менская 2, пошта                                     ; 53.965944; 27.056046;G
//$;M;S  ;MIO; Белы Слуп           ;              ;   ; 1698 ;    ;    ;     ;      ;         ;   ;      ;    ;27.06.21; Любанскі р-н         ; канструкцыя невядомая                               ; 52.747483; 27.950354;G*
//$;M;S  ;MIO; Кукелеўшчына        ;              ;   ; 1721 ;    ;    ;     ;      ;         ;   ;      ;    ;27.06.21; Менскі р-н            ; канструкцыя невядомая                               ; 54.222901; 27.392577;G*
$;M;S  ;MIO; Даўбарова           ;              ;   ; 1722 ;    ;    ;     ;      ;         ;   ;      ;    ;27.06.21; Менскі р-н            ; вежа 70м (А1 343)                                      ; 54.217855; 27.377753;G
//$;M;S  ;MIO; Раўкуцевічы         ;              ;   ; 1725 ;    ;    ;     ;      ;         ;   ;      ;    ;27.06.21; Менскі р-н            ; канструкцыя невядомая                               ; 54.162374; 27.367482;G*
//$;M;S  ;MIO; Мядзведзіна         ;              ;   ; 1794 ;    ;    ;     ;      ;         ;   ;      ;    ;27.06.21; Вілейскі р-н         ; канструкцыя невядомая                               ; 54.437161; 26.805430;G*
$;M;S  ;MIO; Астроўчыцы          ;              ;   ; 4266 ;    ;    ;     ;      ;         ;   ;      ;    ;27.06.21; Клецкі р-н           ; апорная мачта                                        ; 52.890709; 26.721526;G
$;M;S  ;MIO; Тычыны              ;              ;   ; 4269 ;    ;    ;     ;      ;         ;   ;      ;    ;27.06.21; Салігорскі р-н       ; апорная мачта                                        ; 52.762231; 27.488138;G
$;M;S  ;MIO; Салігорск           ;              ;   ; 5077 ;    ;    ;     ;      ;         ;   ;      ;    ;31.08.21; Маладзёжная 1          ; апора асвятлення                                      ; 52.787903; 27.502245;G
$;M;S  ;MIO; Салігорск           ;              ;   ; 5077 ;    ;    ;     ;      ;         ;   ;      ;    ;31.08.21; Маладзёжная 7          ; апора асвятлення                                      ; 52.789196; 27.502271;G
