KIND;OPR;STAT;AREA;CITY          ; CB          ; LAC ; CID ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                  ; REM                                                  ;  OZIN     ;  OZIE  ;LOCK

/;Менская вобласць

$;V;S  ;MIO; Дворышча            ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;18.06.16; Любанскі р-н         ; апорная мачта                                        ; 52.533946; 28.329216;G
$;V;S  ;MIO; Палічын             ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;18.06.16; Любанскі р-н         ; вежа 70м                                             ; 52.593107; 28.264962;G
$;V;S  ;MIO; Паварчыцы           ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;31.05.18; Салігорскі р-н       ; апорная мачта?                                       ; 52.711490; 27.381715;G*
$;V;S  ;MIO; Менск (Азярцо)      ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;01.03.21; Менскі р-н           ; Шчомысліцкі с/c  101к3, слуп                         ; 53.850524; 27.420234;G*
$;V;S  ;MIO; Волма               ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;26.05.22; Смалевіцкі р-н       ; слуп 26м                                                 ; 53.889050; 27.916073;Y
$;V;S  ;MIO; Усяж                ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;26.05.22; Смалевіцкі р-н       ; слуп 26м                                                 ; 54.075771; 28.000962;Y
$;V;S  ;MIO; Наносы              ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;26.05.22; Мядзелскі р-н        ; ????                                                 ; 54.863064; 26.713000;Y
$;V;S  ;MIO; Цэнтральны          ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;26.10.22; Смалевіцкі р-н       ; мачта 39м                                            ; 54.035422; 28.273145;Y
$;V;S  ;MIO; Салігорск           ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;02.12.22; Васкрасенская 4      ; апора асвятлення                                     ; 52.785438; 27.494293;G
$;V;S  ;MIO; Салігорск           ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;02.12.22; Кастрычніцкая 96     ; слуп 26м                                             ; 52.791847; 27.502374;G
$;V;S  ;MIO; Салігорск           ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;02.12.22; Кастрычніцкая 111A   ; апора асвятлення                                     ; 52.789517; 27.496802;G
$;V;S  ;MIO; Салігорск           ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;02.12.22; Кастрычніцкая 40     ; слуп 26м                                             ; 52.791462; 27.515593;G
$;V;S  ;MIO; Салігорск           ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;02.12.22; Горкага 4А/4         ; слуп 26м                                             ; 52.789650; 27.554544;G
$;V;S  ;MIO; Салігорск           ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;02.12.22; Лясны пр-д 1         ; слуп 26м                                             ; 52.771882; 27.530568;G
$;V;S  ;MIO; Салігорск           ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;02.12.22; Лясны пр-д 3         ; трыпод                                               ; 52.768845; 27.529317;G
$;V;S  ;MIO; Зарэчча             ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;15.02.23; Смалявіцкі р-н       ; мачта 39м                                            ; 53.832198; 27.978966;Y
$;V;S  ;MIO; Клецк               ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;27.02.23; Лермантава           ; вежа 70м                                             ; 53.073037; 26.649882;G
$;V;S  ;MIO; Раманы              ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;19.06.23; Маладзечанскі р-н    ; мачта 39м                                            ; 54.124984; 27.112593;Y
$;V;S  ;MIO; Дружычы             ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;02.08.23; Валожынскі р-н       ; слуп 26м                                             ; 53.988201; 26.881867;Y
$;V;S  ;MIO; Лугавая Слабада     ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;06.09.23; Менскі р-н           ; М4, ступ 26м                                         ; 53.781336; 27.849703;Y
$;V;S  ;MIO; Заполле             ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;06.09.23; Чэрвенскі р-н        ; М4, слуп 26м                                         ; 53.769550; 27.988859;Y
$;V;S  ;MIO; Валевачы            ;             ;     ;     ;    ;    ;     ;      ;         ;   ;      ;    ;06.09.23; Чэрвенскі р-н        ; М4, слуп 26м                                         ; 53.761651; 28.157987;Y
